,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category
2074,Pilothouse,Nimbus power boats,"Used boat,Diesel",2004,11.5,3.6,GRP,225,145000,Finland , Informationen BCM-Yachtsales,Used boat,Diesel,High-priced
2075,Flybridge,Menorquin power boats,"Used boat,Diesel",2002,12.4,3.9,PVC,106,145000,Spain , Mallorca ,Used boat,Diesel,High-priced
2076,Sport Boat,Sea Ray power boats,"Used boat,Diesel",2006,14.08,4.27,PVC,109,145000,Croatia (Hrvatska) ," SIBENIK, Croatie",Used boat,Diesel,High-priced
2077,Motor Yacht,Bnteau power boats,"Used boat,Diesel",2011,15.11,4.45,PVC,62,145000,Croatia (Hrvatska) , KASTEL GOMILICA,Used boat,Diesel,High-priced
2078,Fishing Boat,Robalo power boats,Used boat,2011,8.89,3.2,GRP,48,145000,Italy , Campania ,Used boat,Diesel,High-priced
2079,Center console boat,Fiart Mare power boats,Used boat,2009,11.56,3.88,GRP,31,145000,Italy , Campania ,Used boat,Diesel,High-priced
2080,Flybridge,Sealine power boats,"Used boat,Diesel",2000,14.11,4.27,PVC,233,145000,France,Unknown,Used boat,Diesel,High-priced
2081,Trawler,Smelne power boats,"Used boat,Diesel",1998,12.8,3.9,Steel,68,145000,France ," Saint-Jean-de-Losne, France",Used boat,Diesel,High-priced
2082,Sport Boat,Sessa power boats,"Used boat,Diesel",2011,11.33,3.45,PVC,95,149000,France ," CANET EN ROUSSILLON, CANET EN ROUSSILLON",Used boat,Diesel,High-priced
2083,Sport Boat,Four Winns power boats,"Used boat,Unleaded",2019,7.32,2.44,GRP,55,149000,Spain , Baleares ,Used boat,Unleaded,High-priced
2084,Flybridge,Neptunus power boats,Used boat,1998,14.1,4.4,GRP,140,149000,Netherlands , In verkoophaven,Used boat,Unleaded,High-priced
2086,Flybridge,Altena power boats,Used boat,1986,14.95,4.4,Steel,93,149000,Netherlands , In verkoophaven,Used boat,Unleaded,High-priced
2087,Flybridge,Azimut power boats,"Used boat,Diesel",2000,14.9,4.4,GRP,140,149000,Spain , Mallorca ,Used boat,Diesel,High-priced
2089,Motor Yacht,Princess power boats,"Used boat,Diesel",2001,13.15,3.73,GRP,208,149000,France , C̫te d'Azur ,Used boat,Diesel,High-priced
2091,Motor Yacht,Princess power boats,Used boat,1993,15,4.5,GRP,146,149000,Netherlands ," Schip ligt op locatie in Roermond, bel ons voor ee",Used boat,Diesel,High-priced
2094,Flybridge,Bnteau power boats,"Used boat,Diesel",2010,11.4,3.85,PVC,94,148700,France ," sete, France",Used boat,Diesel,High-priced
2095,Motor Yacht,Chris Craft power boats,Used boat,2017,8.13,2.6,GRP,67,148500,Netherlands , In verkoophaven,Used boat,Diesel,High-priced
2096,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1992,15,4.65,GRP,67,149900,Germany , Hamburg ,Used boat,Diesel,High-priced
2098,Pilothouse,Nord Star power boats,Used boat,2011,10.1,3.15,GRP,97,149900,Finland ," Taivassalo, (FI)",Used boat,Diesel,High-priced
2099,Motor Yacht,Raffaelli power boats,"Used boat,Diesel",2001,14.6,4.4,GRP,149,149900,Croatia (Hrvatska) , INFO BOOTE RIEDL TROGIR,Used boat,Diesel,High-priced
2101,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,8.07,2.59,GRP,160,149600,Austria , Linz,new boat from stock,Unleaded,High-priced
2105,Motor Yacht,Sarnico power boats,Used boat,1998,16.7,4.38,GRP,83,149500,Netherlands,Unknown,Used boat,Unleaded,High-priced
2106,Sport Boat,SAY power boats,"Used boat,Unleaded",2016,8.85,2.78,Carbon Fiber,81,149500,France ," Beaulieu, Beaulieu",Used boat,Unleaded,High-priced
2107,Sport Boat,Ganz Boats power boats,"Used boat,Unleaded",2017,7.65,2.5,GRP,39,149500,Germany , INFO DD-YACHTING,Used boat,Unleaded,High-priced
2113,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,7.89,2.59,GRP,127,151310,Germany , Berlin ,new boat from stock,Unleaded,High-priced
2115,Center console boat,De Antonio Yachts power boats,"new boat on order,Unleaded",2020,7.99,2.95,GRP,150,150565,Switzerland , Lake Geneva ,new boat on order,Unleaded,High-priced
2116,Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2020,7.8,2.49,GRP,56,165750,Switzerland , Lake of Zurich ,new boat from stock,Unleaded,High-priced
2118,Hardtop,Conam power boats,"Used boat,Diesel",2005,14,4.4,GRP,77,150000,Italy , Lazio ,Used boat,Diesel,High-priced
2119,Bowrider,Frauscher power boats,"Display Model,Unleaded",2017,7.47,2.49,GRP,598,150000,Switzerland , Lake Constance ,Used boat,Display Model,High-priced
2121,Hardtop,Atlantis power boats,"Used boat,Diesel",2009,13.7,4.8,GRP,75,150000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
2122,Trawler,Gruno power boats,"Used boat,Diesel",2005,11.4,3.9,Steel,193,150000,Germany , Berlin ,Used boat,Diesel,High-priced
2123,Flybridge,Rodman power boats,"Used boat,Diesel",2005,11.78,3.91,GRP,87,150000,Portugal , South of Portugal,Used boat,Diesel,High-priced
2124,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2009,13.53,4.08,GRP,33,150000,Croatia (Hrvatska) , Rovinj,Used boat,Diesel,High-priced
2126,Motor Yacht,Blue Navy power boats,"Used boat,Diesel",2010,13.1,3.6,GRP,75,150000,Italy,Unknown,Used boat,Diesel,High-priced
2127,Motor Yacht,Cranchi power boats,"Used boat,Unleaded",2014,9.3,3.24,GRP,52,155000,Austria , Linz Schauraum TopYacht,Used boat,Unleaded,High-priced
2128,Motor Yacht,Cantieri di Sarnico power boats,"Used boat,Diesel",2002,14.85,4.3,GRP,78,155000,Italy,Unknown,Used boat,Diesel,High-priced
